date, value
1986-07-01,2022.297851562500
1986-08-01,2068.000000000000
1986-09-01,2206.000000000000
1986-10-01,2073.000000000000
1986-11-01,2024.000000000000
1986-12-01,1976.000000000000
1987-01-01,1976.000000000000
1987-02-01,1965.000000000000
1987-03-01,2011.000000000000
1987-04-01,2072.000000000000
1987-05-01,2068.000000000000
1987-06-01,1997.000000000000
1987-07-01,2127.100097656250
1987-08-01,2022.000000000000
1987-09-01,1988.000000000000
1987-10-01,1913.000000000000
1987-11-01,1938.000000000000
1987-12-01,1896.000000000000
1988-01-01,1973.000000000000
1988-02-01,1799.000000000000
1988-03-01,1685.000000000000
1988-04-01,1649.000000000000
1988-05-01,1698.000000000000
1988-06-01,1624.000000000000
1988-07-01,1610.000000000000
1988-08-01,1448.000000000000
1988-09-01,1239.000000000000
1988-10-01,1304.000000000000
1988-11-01,1473.000000000000
1988-12-01,1503.000000000000
1989-01-01,1435.000000000000
1989-02-01,1483.885009765630
1989-03-01,1413.000000000000
1989-04-01,1290.000000000000
1989-05-01,1205.000000000000
1989-06-01,1252.000000000000
1989-07-01,1351.489990234380
1989-08-01,1292.000000000000
1989-09-01,1140.000000000000
1989-10-01,1064.000000000000
1989-11-01,1010.000000000000
1989-12-01,970.000000000000
1990-01-01,995.000000000000
1990-02-01,1022.000000000000
1990-03-01,1131.000000000000
1990-04-01,1336.000000000000
1990-05-01,1443.000000000000
1990-06-01,1330.000000000000
1990-07-01,1346.000000000000
1990-08-01,1284.000000000000
1990-09-01,1371.000000000000
1990-10-01,1309.000000000000
1990-11-01,1352.000000000000
1990-12-01,1297.000000000000
1991-01-01,1242.000000000000
1991-02-01,1215.000000000000
1991-03-01,1211.000000000000
1991-04-01,1144.000000000000
1991-05-01,1063.399902343750
1991-06-01,1041.479980468750
1991-07-01,996.855224609375
1991-08-01,1136.351318359380
1991-09-01,1273.319824218750
1991-10-01,1304.399902343750
1991-11-01,1316.935058593750
1991-12-01,1366.609130859380
1992-01-01,1281.568115234380
1992-02-01,1191.048583984380
1992-03-01,1127.963623046880
1992-04-01,1045.480224609380
1992-05-01,995.311279296875
1992-06-01,962.632080078125
1992-07-01,1105.238281250000
1992-08-01,1182.107910156250
1992-09-01,1118.927734375000
1992-10-01,1071.475341796880
1992-11-01,1076.384521484380
1992-12-01,1034.902099609380
1993-01-01,1035.569702148440
1993-02-01,990.991333007813
1993-03-01,977.318908691406
1993-04-01,1010.747863769530
1993-05-01,998.066650390625
1993-06-01,941.685424804688
1993-07-01,1058.643676757810
1993-08-01,1087.172607421880
1993-09-01,1263.301147460940
1993-10-01,1290.472045898440
1993-11-01,1321.776367187500
1993-12-01,1359.507080078130
1994-01-01,1263.626220703130
1994-02-01,1226.593994140630
1994-03-01,1307.188842773440
1994-04-01,1244.001831054690
1994-05-01,1378.693359375000
1994-06-01,1458.948486328130
1994-07-01,1555.869140625000
1994-08-01,1551.171142578130
1994-09-01,1486.263549804690
1994-10-01,1447.707641601560
1994-11-01,1430.616088867190
1994-12-01,1397.506958007810
1995-01-01,1467.558471679690
1995-02-01,1510.632324218750
